Booking_ID,Date_Time,Year,Month,Day_of_Week,Hour,Customer_ID,Customer_Type,Booking_Type,Seat_Type,Duration_Hours,Total_Amount_MYR,Payment_Method,Rating,Peak_Hour,Occupancy_Rate_%,Seat_Available
BK04552,07-01-2020 21:31,2020,1,Tuesday,21,C1937,University Student,Pre-Booked,Group,2.8,11.2,E-Wallet,4,Yes,64,N/A
BK05137,08-01-2020 05:57,2020,1,Wednesday,5,C1985,University Student,Pre-Booked,Private Room,3,45,Card,5,No,54,N/A
BK04437,08-01-2020 11:47,2020,1,Wednesday,11,C0559,University Student,Pre-Booked,Group,2.7,10.8,E-Wallet,4,No,62,N/A
BK02689,08-01-2020 17:30,2020,1,Wednesday,17,C0189,University Student,Pre-Booked,Individual,2.8,11.2,Card,5,Yes,56,N/A
BK04557,08-01-2020 20:04,2020,1,Wednesday,20,C0069,Working Professional,Pre-Booked,Group,1.6,6.4,Cash,4,Yes,51,N/A
BK01957,09-01-2020 11:42,2020,1,Thursday,11,C1651,University Student,Walk-in,Group,2.2,8.8,Card,1,No,50,Yes
BK02988,10-01-2020 01:52,2020,1,Friday,1,C1516,University Student,Pre-Booked,Group,2.2,8.8,E-Wallet,2,No,62,N/A
BK00792,10-01-2020 13:20,2020,1,Friday,13,C1563,University Student,Pre-Booked,Group,1.7,6.8,E-Wallet,4,No,65,N/A
BK04689,10-01-2020 16:09,2020,1,Friday,16,C0197,University Student,Walk-in,Group,1.7,6.8,Cash,3,Yes,53,Yes
BK02524,10-01-2020 23:34,2020,1,Friday,23,C0358,Freelancer,Walk-in,Individual,1.9,7.6,E-Wallet,4,No,58,Yes
BK03880,11-01-2020 00:40,2020,1,Saturday,0,C0101,Freelancer,Pre-Booked,Individual,2.6,10.4,Card,3,No,69,N/A
BK02344,12-01-2020 03:58,2020,1,Sunday,3,C1785,Freelancer,Pre-Booked,Individual,3.2,12.8,Cash,4,No,63,N/A
BK02666,12-01-2020 12:26,2020,1,Sunday,12,C0122,Working Professional,Pre-Booked,Private Room,1.9,28.5,Card,3,No,72,N/A
BK05064,12-01-2020 19:23,2020,1,Sunday,19,C1371,University Student,Pre-Booked,Individual,2.3,9.2,E-Wallet,3,Yes,71,N/A
BK03115,13-01-2020 01:28,2020,1,Monday,1,C0721,University Student,Pre-Booked,Group,3.1,12.4,Card,5,No,65,N/A
BK00411,13-01-2020 19:29,2020,1,Monday,19,C0627,Freelancer,Walk-in,Individual,1.5,6,E-Wallet,4,Yes,68,Yes
BK05217,14-01-2020 23:09,2020,1,Tuesday,23,C1869,Working Professional,Pre-Booked,Individual,2,8,Card,5,No,45,N/A
BK02491,15-01-2020 00:15,2020,1,Wednesday,0,C0126,Freelancer,Walk-in,Individual,1.8,7.2,E-Wallet,5,No,58,Yes
BK00410,15-01-2020 12:09,2020,1,Wednesday,12,C0037,University Student,Pre-Booked,Individual,1.5,6,E-Wallet,5,No,51,N/A
BK03607,15-01-2020 16:50,2020,1,Wednesday,16,C0322,University Student,Walk-in,Group,1.9,7.6,E-Wallet,3,Yes,53,Yes
BK03904,15-01-2020 19:13,2020,1,Wednesday,19,C1318,Working Professional,Pre-Booked,Group,2.3,9.2,Card,4,Yes,63,N/A
BK04404,15-01-2020 20:16,2020,1,Wednesday,20,C0105,University Student,Pre-Booked,Group,2.4,9.6,E-Wallet,3,Yes,48,N/A
BK02758,16-01-2020 11:04,2020,1,Thursday,11,C1948,University Student,Pre-Booked,Group,1.9,7.6,E-Wallet,3,No,63,N/A
BK05164,17-01-2020 01:10,2020,1,Friday,1,C1915,University Student,Walk-in,Individual,1.8,7.2,E-Wallet,3,No,68,Yes
BK05007,17-01-2020 21:34,2020,1,Friday,21,C1047,Other,Pre-Booked,Private Room,2,30,Card,5,Yes,56,N/A
BK03761,18-01-2020 06:35,2020,1,Saturday,6,C1278,Freelancer,Walk-in,Individual,1.8,7.2,Card,5,No,80,Yes
BK05315,18-01-2020 15:20,2020,1,Saturday,15,C1692,University Student,Walk-in,Group,1.1,4.4,Card,5,Yes,76,Yes
BK00606,18-01-2020 20:47,2020,1,Saturday,20,C1230,Freelancer,Pre-Booked,Group,2.8,11.2,E-Wallet,4,Yes,74,N/A
BK05260,19-01-2020 01:07,2020,1,Sunday,1,C0777,Working Professional,Pre-Booked,Group,2.9,11.6,E-Wallet,5,No,61,N/A
BK02562,19-01-2020 05:40,2020,1,Sunday,5,C1347,University Student,Walk-in,Individual,2.2,8.8,Cash,2,No,65,Yes
BK05021,19-01-2020 17:40,2020,1,Sunday,17,C0662,University Student,Pre-Booked,Individual,2.4,9.6,E-Wallet,4,Yes,65,N/A
BK00140,19-01-2020 23:16,2020,1,Sunday,23,C1529,University Student,Walk-in,Individual,1.1,4.4,Cash,5,No,62,Yes
BK04357,20-01-2020 00:52,2020,1,Monday,0,C1699,University Student,Walk-in,Group,1.7,6.8,Card,3,No,66,Yes
BK03851,20-01-2020 09:13,2020,1,Monday,9,C0023,Freelancer,Walk-in,Group,2.1,8.4,E-Wallet,1,No,52,Yes
BK00338,20-01-2020 19:34,2020,1,Monday,19,C0003,Working Professional,Pre-Booked,Individual,2.8,11.2,Card,2,Yes,55,N/A
BK00260,20-01-2020 20:00,2020,1,Monday,20,C0124,University Student,Pre-Booked,Private Room,2.9,43.5,E-Wallet,4,Yes,56,N/A
BK01204,21-01-2020 01:00,2020,1,Tuesday,1,C0199,Working Professional,Pre-Booked,Group,1.6,6.4,E-Wallet,5,No,61,N/A
BK05186,21-01-2020 09:54,2020,1,Tuesday,9,C0207,Working Professional,Pre-Booked,Group,2.4,9.6,E-Wallet,5,No,54,N/A
BK00607,21-01-2020 10:07,2020,1,Tuesday,10,C0113,University Student,Walk-in,Group,1.8,7.2,Cash,1,No,54,Yes
BK00514,21-01-2020 13:53,2020,1,Tuesday,13,C1780,Freelancer,Pre-Booked,Group,2.5,10,Card,4,No,63,N/A
BK04594,21-01-2020 14:14,2020,1,Tuesday,14,C1890,University Student,Pre-Booked,Private Room,1.6,24,Cash,4,Yes,61,N/A
BK05057,22-01-2020 11:31,2020,1,Wednesday,11,C0568,University Student,Pre-Booked,Individual,3.1,12.4,Card,5,No,52,N/A
BK03643,23-01-2020 10:33,2020,1,Thursday,10,C0754,University Student,Pre-Booked,Group,3,12,E-Wallet,4,No,65,N/A
BK03519,23-01-2020 12:50,2020,1,Thursday,12,C1443,University Student,Pre-Booked,Group,1.9,7.6,Card,4,No,65,N/A
BK05113,23-01-2020 15:39,2020,1,Thursday,15,C1945,University Student,Walk-in,Group,2.4,9.6,E-Wallet,3,Yes,66,Yes
BK00460,23-01-2020 18:36,2020,1,Thursday,18,C1102,Freelancer,Walk-in,Individual,1.3,5.2,Cash,5,Yes,56,Yes
BK00650,24-01-2020 02:01,2020,1,Friday,2,C0069,Freelancer,Pre-Booked,Private Room,2.5,37.5,E-Wallet,4,No,56,N/A
BK04114,24-01-2020 03:55,2020,1,Friday,3,C0490,Freelancer,Pre-Booked,Group,3.3,13.2,Cash,4,No,61,N/A
BK01270,25-01-2020 04:23,2020,1,Saturday,4,C0573,Freelancer,Walk-in,Individual,1.6,6.4,Card,4,No,78,Yes
BK01281,25-01-2020 18:19,2020,1,Saturday,18,C1667,University Student,Walk-in,Group,1.3,5.2,E-Wallet,4,Yes,75,Yes
BK01049,25-01-2020 22:40,2020,1,Saturday,22,C0383,University Student,Pre-Booked,Individual,3,12,E-Wallet,3,No,71,N/A
BK00907,26-01-2020 02:37,2020,1,Sunday,2,C0865,University Student,Pre-Booked,Group,2,8,Card,4,No,56,N/A
BK03050,26-01-2020 15:40,2020,1,Sunday,15,C1231,University Student,Walk-in,Group,2.3,9.2,Card,3,Yes,70,Yes
BK04846,27-01-2020 01:27,2020,1,Monday,1,C1873,University Student,Pre-Booked,Individual,1.9,7.6,Card,2,No,62,N/A
BK02250,27-01-2020 05:02,2020,1,Monday,5,C1537,University Student,Pre-Booked,Group,2,8,E-Wallet,4,No,54,N/A
BK00318,27-01-2020 07:55,2020,1,Monday,7,C1407,Freelancer,Pre-Booked,Individual,1.9,7.6,Card,5,No,64,N/A
BK03027,27-01-2020 23:00,2020,1,Monday,23,C0095,Working Professional,Pre-Booked,Private Room,2.5,37.5,Card,5,No,64,N/A
BK04593,28-01-2020 15:10,2020,1,Tuesday,15,C0695,Freelancer,Walk-in,Individual,2.3,9.2,Card,5,Yes,65,Yes
BK00395,28-01-2020 15:28,2020,1,Tuesday,15,C1460,University Student,Pre-Booked,Individual,3.1,12.4,E-Wallet,4,Yes,54,N/A
BK02564,28-01-2020 19:43,2020,1,Tuesday,19,C1250,University Student,Pre-Booked,Private Room,2.3,34.5,Card,5,Yes,52,N/A
BK04093,29-01-2020 01:12,2020,1,Wednesday,1,C1305,University Student,Pre-Booked,Private Room,1.7,25.5,E-Wallet,5,No,56,N/A
BK00417,29-01-2020 21:47,2020,1,Wednesday,21,C1048,University Student,Walk-in,Group,1.4,5.6,Card,2,Yes,53,Yes
BK03013,30-01-2020 05:53,2020,1,Thursday,5,C1765,University Student,Walk-in,Group,2,8,Cash,4,No,63,Yes
BK02426,30-01-2020 06:49,2020,1,Thursday,6,C0047,Freelancer,Walk-in,Individual,1.5,6,E-Wallet,3,No,53,Yes
BK04921,30-01-2020 16:18,2020,1,Thursday,16,C0003,Other,Pre-Booked,Group,2,8,E-Wallet,2,Yes,47,N/A
BK02437,30-01-2020 23:16,2020,1,Thursday,23,C0578,University Student,Walk-in,Individual,2.4,9.6,Card,5,No,55,Yes
BK02092,31-01-2020 04:58,2020,1,Friday,4,C1414,Other,Walk-in,Individual,1.3,5.2,E-Wallet,4,No,56,Yes
BK02380,31-01-2020 05:23,2020,1,Friday,5,C0736,University Student,Pre-Booked,Private Room,3,45,Card,5,No,45,N/A
BK02083,31-01-2020 05:45,2020,1,Friday,5,C1497,Freelancer,Pre-Booked,Group,3,12,E-Wallet,4,No,54,N/A
BK00521,31-01-2020 06:26,2020,1,Friday,6,C0615,University Student,Walk-in,Group,2.3,9.2,Card,4,No,65,Yes
BK03238,31-01-2020 11:10,2020,1,Friday,11,C1996,University Student,Walk-in,Individual,2.4,9.6,Card,1,No,57,Yes
BK02577,31-01-2020 13:59,2020,1,Friday,13,C0301,University Student,Pre-Booked,Private Room,1.6,24,Cash,5,No,57,N/A
BK03527,01-02-2020 13:31,2020,2,Saturday,13,C1529,University Student,Pre-Booked,Private Room,3.4,51,E-Wallet,5,No,70,N/A
BK01521,01-02-2020 18:36,2020,2,Saturday,18,C0022,University Student,Pre-Booked,Group,3.3,13.2,Card,4,Yes,74,N/A
BK01163,02-02-2020 07:11,2020,2,Sunday,7,C1672,University Student,Walk-in,Private Room,2.1,31.5,E-Wallet,2,No,71,Yes
BK02784,02-02-2020 09:06,2020,2,Sunday,9,C1344,Other,Walk-in,Group,2,8,E-Wallet,1,No,69,Yes
BK00535,02-02-2020 19:05,2020,2,Sunday,19,C1940,University Student,Walk-in,Private Room,1.5,22.5,Card,1,Yes,75,Yes
BK04792,02-02-2020 23:06,2020,2,Sunday,23,C1221,University Student,Walk-in,Group,1.3,5.2,Card,4,No,67,Yes
BK01863,03-02-2020 01:28,2020,2,Monday,1,C0231,University Student,Walk-in,Private Room,2,30,E-Wallet,3,No,62,Yes
BK04169,03-02-2020 19:26,2020,2,Monday,19,C1741,University Student,Pre-Booked,Individual,3.2,12.8,E-Wallet,4,Yes,51,N/A
BK02101,04-02-2020 08:15,2020,2,Tuesday,8,C0941,University Student,Pre-Booked,Individual,2,8,Card,3,No,48,N/A
BK01693,04-02-2020 08:24,2020,2,Tuesday,8,C0761,Other,Walk-in,Individual,1.4,5.6,E-Wallet,3,No,66,Yes
BK03732,04-02-2020 11:11,2020,2,Tuesday,11,C1844,Working Professional,Pre-Booked,Group,2.7,10.8,Card,4,No,46,N/A
BK05415,04-02-2020 17:00,2020,2,Tuesday,17,C0128,University Student,Walk-in,Group,1.6,6.4,Cash,4,Yes,64,Yes
BK00949,04-02-2020 19:55,2020,2,Tuesday,19,C0906,Freelancer,Pre-Booked,Individual,1.9,7.6,E-Wallet,5,Yes,51,N/A
BK02598,05-02-2020 03:10,2020,2,Wednesday,3,C0566,Freelancer,Walk-in,Private Room,2.1,31.5,E-Wallet,3,No,67,Yes
BK02581,05-02-2020 06:48,2020,2,Wednesday,6,C0064,University Student,Walk-in,Private Room,1.1,16.5,E-Wallet,3,No,57,Yes
BK02506,05-02-2020 13:22,2020,2,Wednesday,13,C0840,Freelancer,Walk-in,Group,1.6,6.4,Cash,4,No,54,Yes
BK05353,05-02-2020 22:54,2020,2,Wednesday,22,C1297,University Student,Walk-in,Group,1.4,5.6,E-Wallet,4,No,57,Yes
BK03213,07-02-2020 01:53,2020,2,Friday,1,C1756,Working Professional,Walk-in,Individual,1.9,7.6,E-Wallet,5,No,52,Yes
BK04562,07-02-2020 02:11,2020,2,Friday,2,C1123,University Student,Walk-in,Individual,2.2,8.8,Card,4,No,66,Yes
BK00955,07-02-2020 05:23,2020,2,Friday,5,C1814,University Student,Pre-Booked,Group,3.1,12.4,Card,4,No,47,N/A
BK03966,07-02-2020 05:48,2020,2,Friday,5,C0622,Freelancer,Pre-Booked,Individual,2.2,8.8,E-Wallet,5,No,63,N/A
BK00081,08-02-2020 02:34,2020,2,Saturday,2,C0234,Freelancer,Pre-Booked,Group,1.9,7.6,E-Wallet,5,No,70,N/A
BK04961,08-02-2020 06:19,2020,2,Saturday,6,C1602,University Student,Walk-in,Individual,2.2,8.8,Cash,1,No,69,Yes
BK03919,08-02-2020 07:37,2020,2,Saturday,7,C1131,University Student,Walk-in,Individual,2.2,8.8,E-Wallet,5,No,70,Yes
BK00703,08-02-2020 14:19,2020,2,Saturday,14,C0983,Freelancer,Pre-Booked,Group,2.2,8.8,E-Wallet,5,Yes,55,N/A
BK02602,08-02-2020 16:09,2020,2,Saturday,16,C1453,University Student,Walk-in,Individual,1.5,6,Cash,4,Yes,73,Yes
BK02029,09-02-2020 04:41,2020,2,Sunday,4,C0523,Freelancer,Walk-in,Individual,1.9,7.6,Card,3,No,61,Yes
BK03630,09-02-2020 06:36,2020,2,Sunday,6,C0978,University Student,Pre-Booked,Individual,2.5,10,Card,4,No,58,N/A
BK04927,09-02-2020 10:26,2020,2,Sunday,10,C0144,University Student,Walk-in,Private Room,1.2,18,Card,5,No,76,Yes
BK02505,09-02-2020 11:54,2020,2,Sunday,11,C0359,University Student,Walk-in,Private Room,1.4,21,E-Wallet,3,No,78,Yes
BK03746,09-02-2020 15:55,2020,2,Sunday,15,C1691,University Student,Pre-Booked,Private Room,2.3,34.5,Card,4,Yes,63,N/A
BK04323,10-02-2020 06:20,2020,2,Monday,6,C0967,University Student,Pre-Booked,Group,2.7,10.8,Card,4,No,64,N/A
BK01324,10-02-2020 08:56,2020,2,Monday,8,C0562,Freelancer,Pre-Booked,Individual,2.5,10,E-Wallet,5,No,53,N/A
BK05181,10-02-2020 10:13,2020,2,Monday,10,C1029,University Student,Walk-in,Group,2.3,9.2,E-Wallet,3,No,61,Yes
BK02121,10-02-2020 12:45,2020,2,Monday,12,C0268,University Student,Walk-in,Group,1.4,5.6,Cash,2,No,54,Yes
BK04201,11-02-2020 03:42,2020,2,Tuesday,3,C1284,University Student,Pre-Booked,Group,1.7,6.8,E-Wallet,5,No,64,N/A
BK04858,12-02-2020 02:33,2020,2,Wednesday,2,C1430,Freelancer,Pre-Booked,Individual,2.3,9.2,E-Wallet,3,No,64,N/A
BK02020,12-02-2020 07:34,2020,2,Wednesday,7,C1663,Working Professional,Pre-Booked,Individual,2.9,11.6,Card,5,No,65,N/A
BK04660,12-02-2020 12:51,2020,2,Wednesday,12,C1716,University Student,Pre-Booked,Group,3.2,12.8,E-Wallet,4,No,54,N/A
BK01574,13-02-2020 08:11,2020,2,Thursday,8,C0802,University Student,Walk-in,Private Room,1.2,18,Cash,3,No,50,Yes
BK00748,13-02-2020 10:44,2020,2,Thursday,10,C1893,University Student,Walk-in,Group,1.3,5.2,Cash,1,No,53,Yes
BK00797,13-02-2020 20:29,2020,2,Thursday,20,C0391,Freelancer,Walk-in,Group,1.7,6.8,Cash,2,Yes,56,Yes
BK00700,15-02-2020 01:29,2020,2,Saturday,1,C1938,Freelancer,Pre-Booked,Group,2.2,8.8,Card,5,No,73,N/A
BK04053,15-02-2020 07:54,2020,2,Saturday,7,C1717,University Student,Pre-Booked,Individual,2.8,11.2,E-Wallet,4,No,71,N/A
BK01297,15-02-2020 19:13,2020,2,Saturday,19,C1760,Freelancer,Walk-in,Group,1.1,4.4,Card,4,Yes,79,Yes
BK02487,16-02-2020 06:05,2020,2,Sunday,6,C1275,University Student,Walk-in,Group,2,8,Card,5,No,70,Yes
BK01108,16-02-2020 10:08,2020,2,Sunday,10,C0932,University Student,Pre-Booked,Private Room,3.4,51,Card,3,No,58,N/A
BK04217,16-02-2020 20:19,2020,2,Sunday,20,C0669,Working Professional,Pre-Booked,Group,2.9,11.6,Cash,4,Yes,70,N/A
BK01246,17-02-2020 04:09,2020,2,Monday,4,C0809,University Student,Pre-Booked,Group,3.5,14,Card,4,No,63,N/A
BK00253,17-02-2020 15:21,2020,2,Monday,15,C1442,University Student,Walk-in,Individual,2.1,8.4,Cash,5,Yes,69,Yes
BK03362,18-02-2020 09:23,2020,2,Tuesday,9,C1228,University Student,Walk-in,Individual,2,8,Card,1,No,57,Yes
BK03589,18-02-2020 10:54,2020,2,Tuesday,10,C0625,Freelancer,Pre-Booked,Individual,2.6,10.4,Card,4,No,48,N/A
BK01896,18-02-2020 13:38,2020,2,Tuesday,13,C1287,Freelancer,Walk-in,Private Room,1.4,21,E-Wallet,1,No,59,Yes
BK02940,18-02-2020 16:59,2020,2,Tuesday,16,C1664,University Student,Pre-Booked,Private Room,3.4,51,Card,2,Yes,49,N/A
BK04473,19-02-2020 03:12,2020,2,Wednesday,3,C1581,Freelancer,Pre-Booked,Private Room,2.2,33,Card,5,No,63,N/A
BK04024,19-02-2020 10:12,2020,2,Wednesday,10,C0977,University Student,Walk-in,Private Room,2.2,33,Card,4,No,51,Yes
BK00952,19-02-2020 19:54,2020,2,Wednesday,19,C1633,University Student,Pre-Booked,Private Room,1.9,28.5,Card,4,Yes,48,N/A
BK01688,19-02-2020 20:08,2020,2,Wednesday,20,C1330,University Student,Walk-in,Private Room,1.7,25.5,Card,5,Yes,54,Yes
BK01901,19-02-2020 21:16,2020,2,Wednesday,21,C0073,Other,Walk-in,Individual,2,8,Card,2,Yes,52,Yes
BK04529,19-02-2020 22:37,2020,2,Wednesday,22,C0993,Freelancer,Walk-in,Private Room,1.9,28.5,Card,2,No,59,Yes
BK02536,20-02-2020 03:50,2020,2,Thursday,3,C1656,Freelancer,Walk-in,Group,1.6,6.4,E-Wallet,5,No,69,Yes
BK05356,20-02-2020 04:20,2020,2,Thursday,4,C0782,University Student,Walk-in,Private Room,1.9,28.5,Cash,4,No,54,Yes
BK01425,20-02-2020 08:03,2020,2,Thursday,8,C1178,Freelancer,Walk-in,Private Room,2.3,34.5,E-Wallet,4,No,59,Yes
BK00565,20-02-2020 15:35,2020,2,Thursday,15,C1581,University Student,Pre-Booked,Private Room,2.1,31.5,E-Wallet,5,Yes,45,N/A
BK01131,21-02-2020 00:50,2020,2,Friday,0,C1031,Freelancer,Pre-Booked,Group,3,12,Cash,3,No,59,N/A
BK02614,21-02-2020 02:08,2020,2,Friday,2,C0100,University Student,Pre-Booked,Group,2.4,9.6,E-Wallet,4,No,57,N/A
BK02937,21-02-2020 18:16,2020,2,Friday,18,C0131,Freelancer,Pre-Booked,Group,1.7,6.8,Card,4,Yes,45,N/A
BK02048,22-02-2020 12:16,2020,2,Saturday,12,C1951,University Student,Walk-in,Private Room,1,15,Cash,3,No,70,Yes
BK05191,22-02-2020 17:15,2020,2,Saturday,17,C0720,Working Professional,Walk-in,Individual,1.1,4.4,Card,4,Yes,62,Yes
BK01805,22-02-2020 19:11,2020,2,Saturday,19,C0549,Freelancer,Walk-in,Private Room,2.3,34.5,Card,2,Yes,61,Yes
BK01948,23-02-2020 02:12,2020,2,Sunday,2,C0669,Freelancer,Pre-Booked,Individual,1.8,7.2,E-Wallet,5,No,72,N/A
BK01946,23-02-2020 04:10,2020,2,Sunday,4,C1660,Working Professional,Walk-in,Group,1.6,6.4,Cash,4,No,62,Yes
BK00262,23-02-2020 06:14,2020,2,Sunday,6,C0305,University Student,Pre-Booked,Group,3.4,13.6,E-Wallet,5,No,71,N/A
BK01089,23-02-2020 07:08,2020,2,Sunday,7,C0604,University Student,Pre-Booked,Group,1.7,6.8,Cash,4,No,59,N/A
BK00076,23-02-2020 13:45,2020,2,Sunday,13,C0705,University Student,Walk-in,Individual,1.5,6,Card,4,No,76,Yes
BK01934,23-02-2020 20:44,2020,2,Sunday,20,C0657,University Student,Walk-in,Individual,2,8,Cash,5,Yes,78,Yes
BK01361,24-02-2020 10:18,2020,2,Monday,10,C0510,University Student,Pre-Booked,Individual,1.7,6.8,Card,4,No,57,N/A
BK02683,24-02-2020 13:32,2020,2,Monday,13,C0965,University Student,Pre-Booked,Private Room,2,30,Card,4,No,59,N/A
BK01580,25-02-2020 00:32,2020,2,Tuesday,0,C1299,University Student,Pre-Booked,Group,2.2,8.8,E-Wallet,5,No,55,N/A
BK04462,25-02-2020 02:03,2020,2,Tuesday,2,C0569,University Student,Walk-in,Individual,1.4,5.6,Card,5,No,56,Yes
BK04617,25-02-2020 13:59,2020,2,Tuesday,13,C0363,University Student,Walk-in,Individual,1.2,4.8,Cash,3,No,62,Yes
BK01831,25-02-2020 19:51,2020,2,Tuesday,19,C1812,Working Professional,Walk-in,Private Room,1.1,16.5,Cash,4,Yes,62,Yes
BK03728,25-02-2020 22:05,2020,2,Tuesday,22,C0774,University Student,Walk-in,Individual,2.5,10,Card,1,No,64,Yes
BK03470,25-02-2020 22:36,2020,2,Tuesday,22,C0006,University Student,Walk-in,Group,1.8,7.2,E-Wallet,1,No,64,Yes
BK02609,26-02-2020 04:50,2020,2,Wednesday,4,C0607,University Student,Pre-Booked,Group,1.5,6,E-Wallet,4,No,53,N/A
BK04440,26-02-2020 06:55,2020,2,Wednesday,6,C0086,University Student,Pre-Booked,Group,3.2,12.8,E-Wallet,5,No,61,N/A
BK02390,26-02-2020 10:56,2020,2,Wednesday,10,C0569,University Student,Walk-in,Individual,1,4,Card,3,No,57,Yes
BK04383,26-02-2020 14:10,2020,2,Wednesday,14,C0858,University Student,Walk-in,Group,1.7,6.8,Card,2,Yes,63,Yes
BK02599,27-02-2020 02:08,2020,2,Thursday,2,C0050,Other,Walk-in,Individual,2.1,8.4,E-Wallet,2,No,67,Yes
BK04933,27-02-2020 03:55,2020,2,Thursday,3,C1042,University Student,Pre-Booked,Private Room,2.1,31.5,E-Wallet,5,No,62,N/A
BK02650,27-02-2020 11:39,2020,2,Thursday,11,C0283,Freelancer,Pre-Booked,Private Room,3,45,E-Wallet,4,No,58,N/A
BK05035,27-02-2020 15:58,2020,2,Thursday,15,C1192,University Student,Pre-Booked,Group,3.1,12.4,Card,5,Yes,47,N/A
BK00744,28-02-2020 10:18,2020,2,Friday,10,C0961,Freelancer,Pre-Booked,Private Room,1.7,25.5,Card,4,No,46,N/A
BK00833,29-02-2020 02:12,2020,2,Saturday,2,C1276,University Student,Pre-Booked,Individual,3.3,13.2,E-Wallet,4,No,70,N/A
BK02752,29-02-2020 07:42,2020,2,Saturday,7,C0278,University Student,Pre-Booked,Private Room,2,30,Card,4,No,59,N/A
BK05352,29-02-2020 17:53,2020,2,Saturday,17,C0137,Freelancer,Pre-Booked,Group,2.5,10,Card,4,Yes,71,N/A
BK03246,01-03-2020 05:32,2020,3,Sunday,5,C0302,University Student,Pre-Booked,Group,2.5,10,E-Wallet,3,No,55,N/A
BK01583,01-03-2020 06:22,2020,3,Sunday,6,C1235,University Student,Pre-Booked,Private Room,1.8,27,E-Wallet,4,No,69,N/A
BK02289,01-03-2020 14:26,2020,3,Sunday,14,C1537,Freelancer,Pre-Booked,Group,3.3,13.2,Card,2,Yes,75,N/A
BK00416,02-03-2020 08:03,2020,3,Monday,8,C1424,University Student,Pre-Booked,Individual,1.7,6.8,E-Wallet,5,No,51,N/A
BK01016,02-03-2020 08:23,2020,3,Monday,8,C1462,University Student,Walk-in,Private Room,1.8,27,E-Wallet,5,No,67,Yes
BK02519,02-03-2020 10:22,2020,3,Monday,10,C0085,Other,Pre-Booked,Private Room,2.7,40.5,E-Wallet,4,No,50,N/A
BK05361,02-03-2020 12:24,2020,3,Monday,12,C0447,University Student,Pre-Booked,Individual,3.2,12.8,E-Wallet,4,No,62,N/A
BK03275,02-03-2020 18:17,2020,3,Monday,18,C0825,Freelancer,Walk-in,Individual,1.2,4.8,E-Wallet,4,Yes,57,Yes
BK02674,02-03-2020 18:20,2020,3,Monday,18,C1050,Other,Pre-Booked,Group,2.7,10.8,Card,4,Yes,51,N/A
BK04434,02-03-2020 19:23,2020,3,Monday,19,C1564,Freelancer,Pre-Booked,Group,2.9,11.6,E-Wallet,5,Yes,58,N/A
BK05358,02-03-2020 19:55,2020,3,Monday,19,C0801,Freelancer,Pre-Booked,Individual,1.6,6.4,Card,5,Yes,60,N/A
BK00370,03-03-2020 09:07,2020,3,Tuesday,9,C1929,University Student,Pre-Booked,Private Room,1.8,27,E-Wallet,5,No,62,N/A
BK05182,05-03-2020 07:21,2020,3,Thursday,7,C1890,University Student,Pre-Booked,Group,2.3,9.2,E-Wallet,5,No,59,N/A
BK01682,05-03-2020 08:50,2020,3,Thursday,8,C1765,University Student,Pre-Booked,Private Room,1.8,27,E-Wallet,5,No,52,N/A
